cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
30664646111397,Aliso Viejo Middle,Capistrano Unified,Orange,,38.1,48.1,86.2,5,2018
19647330112060,Hesby Oaks Leadership Charter,Los Angeles Unified,Los Angeles,Y,35.8,50.3,86.1,5,2018
43693936046668,Rolling Hills Middle,Campbell Union,Santa Clara,Y,37.0,49.1,86.1,5,2018
43693930106005,Village,Campbell Union,Santa Clara,Y,36.0,50.0,86.0,5,2018
07617546004253,Sequoia Elementary,Mt. Diablo Unified,Contra Costa,,39.0,46.9,85.9,5,2018
16639176010391,Jefferson Charter Academy,Hanford Elementary,Kings,Y,36.1,49.5,85.6,5,2018
19642126010904,Carver (Charles J.) Elementary,ABC Unified,Los Angeles,,36.0,49.5,85.5,5,2018
19649806022545,Edison Elementary,Santa Monica-Malibu Unified,Los Angeles,,35.2,50.3,85.5,5,2018
19753416022156,Washington Elementary,Redondo Beach Unified,Los Angeles,,37.3,47.7,85.0,5,2018
37682966097216,Chaparral Elementary,Poway Unified,San Diego,,38.7,46.1,84.8,5,2018
56726036055818,Vista Elementary,Simi Valley Unified,Ventura,,36.3,48.5,84.8,5,2018
01611196090005,Donald D. Lum Elementary,Alameda Unified,Alameda,,37.1,47.6,84.7,5,2018
31668456031124,Franklin Elementary,Loomis Union Elementary,Placer,,35.3,49.3,84.6,5,2018
01750936001374,Dublin Elementary,Dublin Unified,Alameda,,41.9,42.6,84.5,5,2018
37682966093223,Black Mountain Middle,Poway Unified,San Diego,,36.2,48.3,84.5,5,2018
36750440118059,LaVerne Elementary Preparatory Academy,Hesperia Unified,San Bernardino,Y,40.7,43.7,84.4,5,2018
07618046005086,Country Club Elementary,San Ramon Valley Unified,Contra Costa,,37.3,47.0,84.3,5,2018
01611276116222,Ocean View Elementary,Albany City Unified,Alameda,,37.9,46.3,84.2,5,2018
14633056008809,Round Valley Elementary,Round Valley Joint Elementary,Inyo,,40.6,43.6,84.2,5,2018
01612426118525,Delaine Eastin Elementary,New Haven Unified,Alameda,,39.0,44.8,83.8,5,2018
19647256015556,Newcomb Academy,Long Beach Unified,Los Angeles,,36.9,46.3,83.2,5,2018
21654586024780,Glenwood Elementary,San Rafael City Elementary,Marin,,36.0,47.1,83.1,5,2018
43695916047989,Isaac Newton Graham Middle,Mountain View Whisman,Santa Clara,,42.8,40.0,82.8,5,2018
19647330100867,KIPP Los Angeles College Preparatory,Los Angeles Unified,Los Angeles,Y,41.3,41.4,82.7,5,2018
43695756047799,George C. Payne Elementary,Moreland,Santa Clara,,37.1,45.5,82.6,5,2018
36679590114256,Inland Leaders Charter,Yucaipa-Calimesa Joint Unified,San Bernardino,Y,39.7,42.7,82.4,5,2018
19757136011001,Brightwood Elementary,Alhambra Unified,Los Angeles,,38.0,44.3,82.3,5,2018
30664496068571,William E. Fanning Elementary,Brea-Olinda Unified,Orange,,35.5,46.8,82.3,5,2018
44754326049936,Brook Knoll Elementary,Scotts Valley Unified,Santa Cruz,,38.9,43.1,82.0,5,2018
38684786041578,Sherman Elementary,San Francisco Unified,San Francisco,,37.8,43.9,81.7,5,2018
19647336019277,Solano Avenue Elementary,Los Angeles Unified,Los Angeles,,35.6,45.5,81.1,5,2018
37680806038152,Ocean Knoll Elementary,Encinitas Union Elementary,San Diego,,36.7,44.3,81.0,5,2018
38684783830387,"Asawa (Ruth) SF Sch of the Arts, A Public School",San Francisco Unified,San Francisco,,34.2,46.8,81.0,5,2018
36676780100578,Edwin Rhodes Elementary,Chino Valley Unified,San Bernardino,,37.5,43.4,80.9,5,2018
36739576112924,Heritage,Snowline Joint Unified,San Bernardino,,36.3,44.0,80.3,5,2018
43694500121483,Alpha: Cornerstone Academy Preparatory,Franklin-McKinley Elementary,Santa Clara,Y,38.4,41.7,80.1,5,2018
19650606022990,Arlington Elementary,Torrance Unified,Los Angeles,,45.5,34.4,79.9,5,2018
30736506111876,South Lake Middle,Irvine Unified,Orange,,40.6,39.1,79.7,5,2018
41689736044200,Green Hills Elementary,Millbrae Elementary,San Mateo,,38.4,40.5,78.9,5,2018
31750850114371,Rocklin Academy at Meyers Street,Rocklin Unified,Placer,Y,39.4,39.4,78.8,5,2018
43694500128108,Rocketship Spark Academy,Franklin-McKinley Elementary,Santa Clara,Y,50.4,28.4,78.8,5,2018
01611506090484,Vannoy Elementary,Castro Valley Unified,Alameda,,35.5,43.2,78.7,5,2018
19647256015648,Tincher Preparatory,Long Beach Unified,Los Angeles,,37.7,41.0,78.7,5,2018
30665973031697,Corona del Mar High,Newport-Mesa Unified,Orange,,27.8,50.9,78.7,5,2018
44754326049944,Scotts Valley Middle,Scotts Valley Unified,Santa Cruz,,37.5,41.1,78.6,5,2018
53716966053722,Douglas City Elementary,Douglas City Elementary,Trinity,,44.1,34.5,78.6,5,2018
41689326044051,Vallemar Elementary,Pacifica,San Mateo,,40.4,38.0,78.4,5,2018
21750020124578,Hidden Valley Elementary,Ross Valley Elementary,Marin,,41.9,36.2,78.1,5,2018
31750856031215,Rocklin Elementary,Rocklin Unified,Placer,,35.2,42.9,78.1,5,2018
19642611930288,Arcadia High,Arcadia Unified,Los Angeles,,38.9,39.1,78.0,5,2018
